================================================================================
  SAM ANNOTATION LOG
  Generated : 2026-04-19 14:04:01
  Train JSON: detectron2_dataset/shrub_train_sam.json
  Val JSON  : detectron2_dataset/shrub_val_sam.json
================================================================================

[TRAIN] GLOBAL SUMMARY
------------------------------------------------------------
  Patches              :      677
  Total annotations    :  118,180
  -- Shrubs (total)    :    2,158  (1.8% of all ann)
       SAM-refined     :      440  (20.4% of shrubs)
       Kept original   :    1,718
  -- Trees (hard-neg)  :   88,272
  -- Rocks (hard-neg)  :   27,750
  -- Total hard-neg    :  116,022

[VAL] GLOBAL SUMMARY
------------------------------------------------------------
  Patches              :      202
  Total annotations    :   39,411
  -- Shrubs (total)    :    2,402  (6.1% of all ann)
       SAM-refined     :      413  (17.2% of shrubs)
       Kept original   :    1,989
  -- Trees (hard-neg)  :   29,728
  -- Rocks (hard-neg)  :    7,281
  -- Total hard-neg    :   37,009

[TRAIN] PER-SITE BREAKDOWN
--------------------------------------------------------------------------------
  Site                                 Patches   Shrubs   SAMref    Trees    Rocks
  ----------------------------------------------------------------------------
  Calaveras_Big_trees                      365      104       8(   8%)    63845     7833
  Calaveras_Big_trees_tile_159.npy              Calaveras_Big_trees             0       0     188       1      n/a
  Calaveras_Big_trees_tile_160.npy              Calaveras_Big_trees             0       0     161       6      n/a
  Calaveras_Big_trees_tile_161.npy              Calaveras_Big_trees             0       0     173       1      n/a
  Calaveras_Big_trees_tile_162.npy              Calaveras_Big_trees             0       0     209       3      n/a
  Calaveras_Big_trees_tile_163.npy              Calaveras_Big_trees             0       0     222       4      n/a
  Calaveras_Big_trees_tile_164.npy              Calaveras_Big_trees             0       0     217       8      n/a
  Calaveras_Big_trees_tile_165.npy              Calaveras_Big_trees             0       0     250       0      n/a
  Calaveras_Big_trees_tile_171.npy              Calaveras_Big_trees             0       0     205       0      n/a
  Calaveras_Big_trees_tile_172.npy              Calaveras_Big_trees             0       0     204       0      n/a
  Calaveras_Big_trees_tile_173.npy              Calaveras_Big_trees             0       0     254       0      n/a
  Calaveras_Big_trees_tile_174.npy              Calaveras_Big_trees             0       0     172       0      n/a
  Calaveras_Big_trees_tile_175.npy              Calaveras_Big_trees             0       0     148       0      n/a
  Calaveras_Big_trees_tile_176.npy              Calaveras_Big_trees             0       0     189       0      n/a
  Calaveras_Big_trees_tile_177.npy              Calaveras_Big_trees             0       0     181       0      n/a
  Calaveras_Big_trees_tile_178.npy              Calaveras_Big_trees             0       0     217       5      n/a
  Calaveras_Big_trees_tile_179.npy              Calaveras_Big_trees             0       0     208       5      n/a
  Calaveras_Big_trees_tile_180.npy              Calaveras_Big_trees             0       0     209       0      n/a
  Calaveras_Big_trees_tile_181.npy              Calaveras_Big_trees             0       0     200       0      n/a
  Calaveras_Big_trees_tile_182.npy              Calaveras_Big_trees             0       0     191       1      n/a
  Calaveras_Big_trees_tile_183.npy              Calaveras_Big_trees             0       0     251       0      n/a
  Calaveras_Big_trees_tile_184.npy              Calaveras_Big_trees             0       0     203       1      n/a
  Calaveras_Big_trees_tile_185.npy              Calaveras_Big_trees             0       0     188       1      n/a
  Calaveras_Big_trees_tile_186.npy              Calaveras_Big_trees             0       0     213       2      n/a
  Calaveras_Big_trees_tile_187.npy              Calaveras_Big_trees             0       0     220       0      n/a
  Calaveras_Big_trees_tile_188.npy              Calaveras_Big_trees             0       0     191       0      n/a
  Calaveras_Big_trees_tile_189.npy              Calaveras_Big_trees             0       0     161       0      n/a
  Calaveras_Big_trees_tile_190.npy              Calaveras_Big_trees             0       0     139       0      n/a
  Calaveras_Big_trees_tile_191.npy              Calaveras_Big_trees             0       0     195       0      n/a
  Calaveras_Big_trees_tile_192.npy              Calaveras_Big_trees             0       0     212       0      n/a
  Calaveras_Big_trees_tile_193.npy              Calaveras_Big_trees             0       0     200       1      n/a
  Calaveras_Big_trees_tile_194.npy              Calaveras_Big_trees             0       0     197       0      n/a
  Calaveras_Big_trees_tile_195.npy              Calaveras_Big_trees             0       0     203       1      n/a
  Calaveras_Big_trees_tile_196.npy              Calaveras_Big_trees             0       0     183      10      n/a
  Calaveras_Big_trees_tile_197.npy              Calaveras_Big_trees             0       0     212       1      n/a
  Calaveras_Big_trees_tile_201.npy              Calaveras_Big_trees             0       0      79      87      n/a
  Calaveras_Big_trees_tile_203.npy              Calaveras_Big_trees             0       0     201       0      n/a
  Calaveras_Big_trees_tile_204.npy              Calaveras_Big_trees             0       0     203       0      n/a
  Calaveras_Big_trees_tile_205.npy              Calaveras_Big_trees             0       0     109       0      n/a
  Calaveras_Big_trees_tile_206.npy              Calaveras_Big_trees             0       0     177       1      n/a
  Calaveras_Big_trees_tile_207.npy              Calaveras_Big_trees             0       0     191       0      n/a
  Calaveras_Big_trees_tile_208.npy              Calaveras_Big_trees             0       0     226       0      n/a
  Calaveras_Big_trees_tile_209.npy              Calaveras_Big_trees             0       0     155       0      n/a
  Calaveras_Big_trees_tile_210.npy              Calaveras_Big_trees             0       0     175      12      n/a
  Calaveras_Big_trees_tile_211.npy              Calaveras_Big_trees             0       0     174       1      n/a
  Calaveras_Big_trees_tile_212.npy              Calaveras_Big_trees             0       0     226       1      n/a
  Calaveras_Big_trees_tile_213.npy              Calaveras_Big_trees             0       0     211       0      n/a
  Calaveras_Big_trees_tile_214.npy              Calaveras_Big_trees             0       0     220       0      n/a
  Calaveras_Big_trees_tile_215.npy              Calaveras_Big_trees             0       0     158       0      n/a
  Calaveras_Big_trees_tile_216.npy              Calaveras_Big_trees             0       0     237       0      n/a
  Calaveras_Big_trees_tile_217.npy              Calaveras_Big_trees             0       0     190       0      n/a
  Calaveras_Big_trees_tile_218.npy              Calaveras_Big_trees             0       0     192       0      n/a
  Calaveras_Big_trees_tile_219.npy              Calaveras_Big_trees             0       0     201       1      n/a
  Calaveras_Big_trees_tile_220.npy              Calaveras_Big_trees             0       0     180       0      n/a
  Calaveras_Big_trees_tile_221.npy              Calaveras_Big_trees             0       0     204       0      n/a
  Calaveras_Big_trees_tile_222.npy              Calaveras_Big_trees             0       0     192       0      n/a
  Calaveras_Big_trees_tile_223.npy              Calaveras_Big_trees             0       0     197       0      n/a
  Calaveras_Big_trees_tile_224.npy              Calaveras_Big_trees             0       0     205       0      n/a
  Calaveras_Big_trees_tile_225.npy              Calaveras_Big_trees             0       0     224       2      n/a
  Calaveras_Big_trees_tile_226.npy              Calaveras_Big_trees             0       0     207       0      n/a
  Calaveras_Big_trees_tile_227.npy              Calaveras_Big_trees             0       0     203       1      n/a
  Calaveras_Big_trees_tile_228.npy              Calaveras_Big_trees             0       0     197       2      n/a
  Calaveras_Big_trees_tile_229.npy              Calaveras_Big_trees             0       0     212       0      n/a
  Calaveras_Big_trees_tile_230.npy              Calaveras_Big_trees             0       0     196      11      n/a
  Calaveras_Big_trees_tile_231.npy              Calaveras_Big_trees             0       0      80     103      n/a
  Calaveras_Big_trees_tile_232.npy              Calaveras_Big_trees             0       0      30     138      n/a
  Calaveras_Big_trees_tile_233.npy              Calaveras_Big_trees             0       0     120      18      n/a
  Calaveras_Big_trees_tile_234.npy              Calaveras_Big_trees             0       0     184       1      n/a
  Calaveras_Big_trees_tile_235.npy              Calaveras_Big_trees             0       0     148       0      n/a
  Calaveras_Big_trees_tile_236.npy              Calaveras_Big_trees             0       0     165       0      n/a
  Calaveras_Big_trees_tile_237.npy              Calaveras_Big_trees             0       0     163       0      n/a
  Calaveras_Big_trees_tile_238.npy              Calaveras_Big_trees             0       0     217       0      n/a
  Calaveras_Big_trees_tile_239.npy              Calaveras_Big_trees             0       0     189       0      n/a
  Calaveras_Big_trees_tile_240.npy              Calaveras_Big_trees             0       0     172       3      n/a
  Calaveras_Big_trees_tile_241.npy              Calaveras_Big_trees             0       0     219       2      n/a
  Calaveras_Big_trees_tile_242.npy              Calaveras_Big_trees             0       0     155       0      n/a
  Calaveras_Big_trees_tile_243.npy              Calaveras_Big_trees             0       0     195       0      n/a
  Calaveras_Big_trees_tile_244.npy              Calaveras_Big_trees             0       0     216       0      n/a
  Calaveras_Big_trees_tile_245.npy              Calaveras_Big_trees             0       0     210       0      n/a
  Calaveras_Big_trees_tile_246.npy              Calaveras_Big_trees             0       0     221       0      n/a
  Calaveras_Big_trees_tile_247.npy              Calaveras_Big_trees             0       0     219       0      n/a
  Calaveras_Big_trees_tile_248.npy              Calaveras_Big_trees             0       0     196       0      n/a
  Calaveras_Big_trees_tile_249.npy              Calaveras_Big_trees             0       0     204       0      n/a
  Calaveras_Big_trees_tile_250.npy              Calaveras_Big_trees             0       0     143       0      n/a
  Calaveras_Big_trees_tile_251.npy              Calaveras_Big_trees             0       0     199       0      n/a
  Calaveras_Big_trees_tile_252.npy              Calaveras_Big_trees             0       0     153       0      n/a
  Calaveras_Big_trees_tile_253.npy              Calaveras_Big_trees             0       0     186       3      n/a
  Calaveras_Big_trees_tile_254.npy              Calaveras_Big_trees             0       0     168       0      n/a
  Calaveras_Big_trees_tile_255.npy              Calaveras_Big_trees             0       0     110      29      n/a
  Calaveras_Big_trees_tile_256.npy              Calaveras_Big_trees             0       0     159       6      n/a
  Calaveras_Big_trees_tile_257.npy              Calaveras_Big_trees             0       0     204       0      n/a
  Calaveras_Big_trees_tile_258.npy              Calaveras_Big_trees             0       0     192       5      n/a
  Calaveras_Big_trees_tile_259.npy              Calaveras_Big_trees             0       0     188       2      n/a
  Calaveras_Big_trees_tile_260.npy              Calaveras_Big_trees             0       0     224       0      n/a
  Calaveras_Big_trees_tile_261.npy              Calaveras_Big_trees             0       0     225       0      n/a
  Calaveras_Big_trees_tile_262.npy              Calaveras_Big_trees             0       0     103      53      n/a
  Calaveras_Big_trees_tile_263.npy              Calaveras_Big_trees             0       0      58     133      n/a
  Calaveras_Big_trees_tile_264.npy              Calaveras_Big_trees             0       0     105      15      n/a
  Calaveras_Big_trees_tile_265.npy              Calaveras_Big_trees             0       0     151      11      n/a
  Calaveras_Big_trees_tile_266.npy              Calaveras_Big_trees             0       0     185      22      n/a
  Calaveras_Big_trees_tile_267.npy              Calaveras_Big_trees             0       0     127       6      n/a
  Calaveras_Big_trees_tile_268.npy              Calaveras_Big_trees             0       0     173       0      n/a
  Calaveras_Big_trees_tile_269.npy              Calaveras_Big_trees             0       0     168       0      n/a
  Calaveras_Big_trees_tile_270.npy              Calaveras_Big_trees             0       0     165       2      n/a
  Calaveras_Big_trees_tile_271.npy              Calaveras_Big_trees             0       0     159       2      n/a
  Calaveras_Big_trees_tile_272.npy              Calaveras_Big_trees             0       0     202       0      n/a
  Calaveras_Big_trees_tile_273.npy              Calaveras_Big_trees             0       0     174       0      n/a
  Calaveras_Big_trees_tile_274.npy              Calaveras_Big_trees             0       0     182       1      n/a
  Calaveras_Big_trees_tile_275.npy              Calaveras_Big_trees             0       0     218       1      n/a
  Calaveras_Big_trees_tile_276.npy              Calaveras_Big_trees             0       0     173       0      n/a
  Calaveras_Big_trees_tile_277.npy              Calaveras_Big_trees             0       0     191       0      n/a
  Calaveras_Big_trees_tile_278.npy              Calaveras_Big_trees             0       0     197       0      n/a
  Calaveras_Big_trees_tile_279.npy              Calaveras_Big_trees             0       0     197       0      n/a
  Calaveras_Big_trees_tile_280.npy              Calaveras_Big_trees             0       0     182       0      n/a
  Calaveras_Big_trees_tile_281.npy              Calaveras_Big_trees             0       0     214       0      n/a
  Calaveras_Big_trees_tile_282.npy              Calaveras_Big_trees             0       0     160       4      n/a
  Calaveras_Big_trees_tile_283.npy              Calaveras_Big_trees             0       0     175       0      n/a
  Calaveras_Big_trees_tile_284.npy              Calaveras_Big_trees             0       0     159       0      n/a
  Calaveras_Big_trees_tile_285.npy              Calaveras_Big_trees             0       0     169       1      n/a
  Calaveras_Big_trees_tile_286.npy              Calaveras_Big_trees             0       0     173       1      n/a
  Calaveras_Big_trees_tile_287.npy              Calaveras_Big_trees             0       0     101      55      n/a
  Calaveras_Big_trees_tile_288.npy              Calaveras_Big_trees             0       0      93      82      n/a
  Calaveras_Big_trees_tile_289.npy              Calaveras_Big_trees             0       0      77     128      n/a
  Calaveras_Big_trees_tile_290.npy              Calaveras_Big_trees             0       0      66     111      n/a
  Calaveras_Big_trees_tile_291.npy              Calaveras_Big_trees             0       0     196       5      n/a
  Calaveras_Big_trees_tile_292.npy              Calaveras_Big_trees             0       0     231       1      n/a
  Calaveras_Big_trees_tile_293.npy              Calaveras_Big_trees             0       0     211       0      n/a
  Calaveras_Big_trees_tile_294.npy              Calaveras_Big_trees             0       0     180       8      n/a
  Calaveras_Big_trees_tile_295.npy              Calaveras_Big_trees             0       0     133      10      n/a
  Calaveras_Big_trees_tile_296.npy              Calaveras_Big_trees             0       0     164       4      n/a
  Calaveras_Big_trees_tile_297.npy              Calaveras_Big_trees             0       0      93      82      n/a
  Calaveras_Big_trees_tile_298.npy              Calaveras_Big_trees             0       0     171       0      n/a
  Calaveras_Big_trees_tile_299.npy              Calaveras_Big_trees             0       0     168       0      n/a
  Calaveras_Big_trees_tile_300.npy              Calaveras_Big_trees             0       0     181       1      n/a
  Calaveras_Big_trees_tile_301.npy              Calaveras_Big_trees             0       0     212       0      n/a
  Calaveras_Big_trees_tile_302.npy              Calaveras_Big_trees             0       0     183       1      n/a
  Calaveras_Big_trees_tile_303.npy              Calaveras_Big_trees             0       0     165       0      n/a
  Calaveras_Big_trees_tile_304.npy              Calaveras_Big_trees             0       0     198       0      n/a
  Calaveras_Big_trees_tile_305.npy              Calaveras_Big_trees             0       0     176       0      n/a
  Calaveras_Big_trees_tile_306.npy              Calaveras_Big_trees             0       0     195       0      n/a
  Calaveras_Big_trees_tile_307.npy              Calaveras_Big_trees             0       0     242       0      n/a
  Calaveras_Big_trees_tile_308.npy              Calaveras_Big_trees             0       0     193       0      n/a
  Calaveras_Big_trees_tile_309.npy              Calaveras_Big_trees             0       0     246       0      n/a
  Calaveras_Big_trees_tile_310.npy              Calaveras_Big_trees             0       0     213       0      n/a
  Calaveras_Big_trees_tile_311.npy              Calaveras_Big_trees             0       0     195       0      n/a
  Calaveras_Big_trees_tile_312.npy              Calaveras_Big_trees             0       0     217       0      n/a
  Calaveras_Big_trees_tile_313.npy              Calaveras_Big_trees             0       0     229       0      n/a
  Calaveras_Big_trees_tile_316.npy              Calaveras_Big_trees             0       0     156       0      n/a
  Calaveras_Big_trees_tile_317.npy              Calaveras_Big_trees             0       0     186       0      n/a
  Calaveras_Big_trees_tile_318.npy              Calaveras_Big_trees             0       0     149      21      n/a
  Calaveras_Big_trees_tile_319.npy              Calaveras_Big_trees             0       0     146      65      n/a
  Calaveras_Big_trees_tile_320.npy              Calaveras_Big_trees             0       0      56     142      n/a
  Calaveras_Big_trees_tile_321.npy              Calaveras_Big_trees             0       0      16     258      n/a
  Calaveras_Big_trees_tile_322.npy              Calaveras_Big_trees             0       0      18     230      n/a
  Calaveras_Big_trees_tile_323.npy              Calaveras_Big_trees             0       0     113     121      n/a
  Calaveras_Big_trees_tile_324.npy              Calaveras_Big_trees             0       0     190      25      n/a
  Calaveras_Big_trees_tile_325.npy              Calaveras_Big_trees             0       0     278       1      n/a
  Calaveras_Big_trees_tile_326.npy              Calaveras_Big_trees             0       0     245       0      n/a
  Calaveras_Big_trees_tile_327.npy              Calaveras_Big_trees             0       0     176      22      n/a
  Calaveras_Big_trees_tile_328.npy              Calaveras_Big_trees             0       0     105      56      n/a
  Calaveras_Big_trees_tile_329.npy              Calaveras_Big_trees             0       0      41     233      n/a
  Calaveras_Big_trees_tile_330.npy              Calaveras_Big_trees             0       0      25     330      n/a
  Calaveras_Big_trees_tile_331.npy              Calaveras_Big_trees             0       0     174       0      n/a
  Calaveras_Big_trees_tile_332.npy              Calaveras_Big_trees             0       0     185       0      n/a
  Calaveras_Big_trees_tile_333.npy              Calaveras_Big_trees             0       0     210       0      n/a
  Calaveras_Big_trees_tile_334.npy              Calaveras_Big_trees             0       0     186       2      n/a
  Calaveras_Big_trees_tile_335.npy              Calaveras_Big_trees             0       0     161       1      n/a
  Calaveras_Big_trees_tile_336.npy              Calaveras_Big_trees             0       0     202       0      n/a
  Calaveras_Big_trees_tile_337.npy              Calaveras_Big_trees             0       0     238       1      n/a
  Calaveras_Big_trees_tile_338.npy              Calaveras_Big_trees             0       0     228       0      n/a
  Calaveras_Big_trees_tile_339.npy              Calaveras_Big_trees             0       0     149       9      n/a
  Calaveras_Big_trees_tile_340.npy              Calaveras_Big_trees             0       0     133      42      n/a
  Calaveras_Big_trees_tile_341.npy              Calaveras_Big_trees             0       0     239       0      n/a
  Calaveras_Big_trees_tile_342.npy              Calaveras_Big_trees             0       0     183       1      n/a
  Calaveras_Big_trees_tile_343.npy              Calaveras_Big_trees             0       0     198       1      n/a
  Calaveras_Big_trees_tile_344.npy              Calaveras_Big_trees             0       0     196       4      n/a
  Calaveras_Big_trees_tile_345.npy              Calaveras_Big_trees             0       0     234       0      n/a
  Calaveras_Big_trees_tile_350.npy              Calaveras_Big_trees             0       0     119     109      n/a
  Calaveras_Big_trees_tile_351.npy              Calaveras_Big_trees             0       0      41     191      n/a
  Calaveras_Big_trees_tile_352.npy              Calaveras_Big_trees             0       0      45     162      n/a
  Calaveras_Big_trees_tile_353.npy              Calaveras_Big_trees             0       0     106     103      n/a
  Calaveras_Big_trees_tile_354.npy              Calaveras_Big_trees             0       0     171      66      n/a
  Calaveras_Big_trees_tile_355.npy              Calaveras_Big_trees             0       0     225      21      n/a
  Calaveras_Big_trees_tile_356.npy              Calaveras_Big_trees             0       0     207      13      n/a
  Calaveras_Big_trees_tile_357.npy              Calaveras_Big_trees             0       0     180      19      n/a
  Calaveras_Big_trees_tile_358.npy              Calaveras_Big_trees             0       0     166      65      n/a
  Calaveras_Big_trees_tile_359.npy              Calaveras_Big_trees             0       0     123      13      n/a
  Calaveras_Big_trees_tile_36.npy               Calaveras_Big_trees             6       5     121      76     54.5
  Calaveras_Big_trees_tile_360.npy              Calaveras_Big_trees             0       0      74     186      n/a
  Calaveras_Big_trees_tile_361.npy              Calaveras_Big_trees             0       0      71      80      n/a
  Calaveras_Big_trees_tile_362.npy              Calaveras_Big_trees             0       0      58     139      n/a
  Calaveras_Big_trees_tile_363.npy              Calaveras_Big_trees             0       0     203       0      n/a
  Calaveras_Big_trees_tile_364.npy              Calaveras_Big_trees             0       0     206       0      n/a
  Calaveras_Big_trees_tile_365.npy              Calaveras_Big_trees             0       0     144       1      n/a
  Calaveras_Big_trees_tile_366.npy              Calaveras_Big_trees             0       0     227       0      n/a
  Calaveras_Big_trees_tile_367.npy              Calaveras_Big_trees             0       0     189       1      n/a
  Calaveras_Big_trees_tile_368.npy              Calaveras_Big_trees             0       0     198       2      n/a
  Calaveras_Big_trees_tile_369.npy              Calaveras_Big_trees             0       0     199       1      n/a
  Calaveras_Big_trees_tile_370.npy              Calaveras_Big_trees             0       0     188       0      n/a
  Calaveras_Big_trees_tile_371.npy              Calaveras_Big_trees             0       0     109      31      n/a
  Calaveras_Big_trees_tile_372.npy              Calaveras_Big_trees             0       0      66      63      n/a
  Calaveras_Big_trees_tile_373.npy              Calaveras_Big_trees             0       0     187       0      n/a
  Calaveras_Big_trees_tile_374.npy              Calaveras_Big_trees             0       0     230       0      n/a
  Calaveras_Big_trees_tile_375.npy              Calaveras_Big_trees             0       0     177       0      n/a
  Calaveras_Big_trees_tile_376.npy              Calaveras_Big_trees             0       0     185       3      n/a
  Calaveras_Big_trees_tile_377.npy              Calaveras_Big_trees             0       0     209       0      n/a
  Calaveras_Big_trees_tile_378.npy              Calaveras_Big_trees             0       0     156       3      n/a
  Calaveras_Big_trees_tile_382.npy              Calaveras_Big_trees             0       0     146      12      n/a
  Calaveras_Big_trees_tile_383.npy              Calaveras_Big_trees             0       0     132      45      n/a
  Calaveras_Big_trees_tile_384.npy              Calaveras_Big_trees             0       0     168      54      n/a
  Calaveras_Big_trees_tile_385.npy              Calaveras_Big_trees             0       0     198      24      n/a
  Calaveras_Big_trees_tile_386.npy              Calaveras_Big_trees             0       0      49     138      n/a
  Calaveras_Big_trees_tile_387.npy              Calaveras_Big_trees             0       0     189      32      n/a
  Calaveras_Big_trees_tile_388.npy              Calaveras_Big_trees             0       0     182      31      n/a
  Calaveras_Big_trees_tile_389.npy              Calaveras_Big_trees             0       0     150      32      n/a
  Calaveras_Big_trees_tile_390.npy              Calaveras_Big_trees             0       0     102      14      n/a
  Calaveras_Big_trees_tile_391.npy              Calaveras_Big_trees             0       0      27     143      n/a
  Calaveras_Big_trees_tile_392.npy              Calaveras_Big_trees             0       0      26     395      n/a
  Calaveras_Big_trees_tile_393.npy              Calaveras_Big_trees             0       0      41     264      n/a
  Calaveras_Big_trees_tile_394.npy              Calaveras_Big_trees             0       0     174       4      n/a
  Calaveras_Big_trees_tile_398.npy              Calaveras_Big_trees             0       0     222       0      n/a
  Calaveras_Big_trees_tile_399.npy              Calaveras_Big_trees             0       0     194       0      n/a
  Calaveras_Big_trees_tile_400.npy              Calaveras_Big_trees             0       0     153       0      n/a
  Calaveras_Big_trees_tile_402.npy              Calaveras_Big_trees             0       0     194       0      n/a
